Name,Link,Quantity,QT Price,RMBPrice,USDPrice
ESP32 S3 Supermini,https://item.taobao.com/item.htm?abbucket=20&id=980496057690&mi_id=000060gtWJ2YMoaqwTfiRICtIZjhoL2ni8cN1k5MYcCyCwE&ns=1&priceTId=2100c91517816064307188740e0742&skuId=5936861332651&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%22a7bd45a0b4f4c8eb7a474607ade996fd%22%7D&xxc=taobaoSearch,1,14.9,14.9,2.235
JS5208,https://item.taobao.com/item.htm?id=739043147728&mi_id=0000kuWiKHqk9L-WG5OeO-tR0bPOZfY_I3pXNGwttvpNHpc&spm=tbpc.boughtlist.suborder_itemtitle.1.52d02e8dbyRjas,1,2.2,2.2,0.33
104 Capacitor,https://detail.tmall.com/item.htm?ali_refid=a3_430620_1006%3A1104520036%3AH%3AKiv86ueseqnLG4Mzs7V95w%3D%3D%3Ac9a42c10e288c0737574497ed4e334d1&ali_trackid=318_c9a42c10e288c0737574497ed4e334d1&id=14462164844&mi_id=0000RH-__bn4fFM2KoS2NrX3-xZsxA2d3MnjKkb_1U8t8qw&mm_sceneid=0_0_28706210_0&priceTId=2100c91517816063488956409e0742&skuId=3999647011475&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%221676cb5b14b0646eb0abe50cc05a7b10%22%7D&xxc=ad_ztc,1,Negligible,Negligible,0
I2C Oled 0.91inch,https://item.taobao.com/item.htm?abbucket=20&id=799718292351&mi_id=0000LYZV9hAzGZ3OKTe6tv6zmkDqScc46F-5c1yghpiLkAk&ns=1&priceTId=2100c91517816063287685976e0742&skuId=5926153899425&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%22af4f234e093dde617edcc1822e7390d0%22%7D&xxc=taobaoSearch,1,8,8,1.2
Potentiometer,https://detail.tmall.com/item.htm?abbucket=20&id=611352518150&mi_id=0000pYwxGRzYKRLn4FzhkfKE19J5gkulzfIQ9u5VuWXrN1U&ns=1&priceTId=2100cff617815993482653591e0737&spm=a21n57.1.hoverItem.7&utparam=%7B%22aplus_abtest%22%3A%224c6de8d9686da9c172b3bdc47aa9a279%22%7D&xxc=taobaoSearch,1,5.5,5.5,0.825
USB-A Male SMD,https://item.taobao.com/item.htm?id=1003164355210&ns=1&abbucket=20&xxc=taobaoSearch&mi_id=0000UFSxZQ8gDq2MmJwzCcA-ojphUXneVoauitWfyOw25yY&skuId=5996049988609&priceTId=2100c91517816062817254727e0742&utparam=%7B%22aplus_abtest%22%3A%222cc371afca73a882f15b5d143a1aaa23%22%7D&spm=a21n57.1.hoverItem.1,1,2.19,2.19,0.3285
CH340C,https://item.taobao.com/item.htm?abbucket=20&id=572355836370&mi_id=0000pYt4KdtQn9kbu-B4B6kF_DGpkBD2kZJ3kfSLw2WvDQo&ns=1&priceTId=2100c91517816062370563822e0742&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%22805499edd32e6d35eefe11420d5b8111%22%7D&xxc=taobaoSearch,1,2.31,2.31,0.3465
Estimated PCB cost,,,,,10
Including PinHeaders and PinSocket,,,,,0.5
Also USB Convertors are required(Not Essential),,,,,0
Sum Up,,,,,15.765
